REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,129.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Male gender,International students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,243.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Female gender,International students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Gender unknown,Canadian students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,84.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,9.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,165.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,12.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,297.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,21.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,654.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,21.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,15.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,330.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,51.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,873.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,81.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,15.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,717.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,249.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,888.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,153.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,9.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,735.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,270.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,1068.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,150.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Gender unknown,Canadian students,9.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,132.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,75.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,54.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,27.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,756.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,249.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,297.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,63.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,27.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,0.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,18.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,6.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,189.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,International students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,999.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,24.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Gender unknown,Canadian students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,81.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,0.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,60.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,0.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Male gender,Canadian students,345.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Male gender,International students,57.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Female gender,Canadian students,633.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Female gender,International students,78.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Unclassified,Gender unknown,Canadian students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Education [1],Male gender,Canadian students,39.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Education [1],Male gender,International students,18.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Education [1],Female gender,Canadian students,99.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Education [1],Female gender,International students,18.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,9.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,12.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,6.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Humanities [3],Male gender,Canadian students,30.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Humanities [3],Male gender,International students,24.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Humanities [3],Female gender,Canadian students,60.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Humanities [3],Female gender,International students,21.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,39.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,39.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,117.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,54.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,3.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,24.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,International students,39.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,30.0
2018/2019,Newfoundland and Labrador,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,International students,24.0
